DayOfYear,Planting Schedule,avg_rain_avg,stnddev_rain_avg,avg_netrad_avg,stnddev_netrad_avg,avg_airtemp_avg,stnddev_airtemp_avg,avg_pr,stddev_pr
1,1/1,0,0,45.52350195,140.1005426,11.89060286,4.631472447,259.0808001,389.0913324
2,1/1,0,0,39.6842487,136.4848152,13.36313542,4.839707306,242.046028,365.9919551
3,1/1,0.054074219,0.39140728,28.00941602,120.2037156,14.01539714,3.755049614,217.5114056,348.8298795
4,1/1,0.029765625,0.245670113,46.14238997,147.4918694,12.54358659,5.423120293,273.4134746,406.2260506
5,1/1,0,0,46.67706641,147.0520469,11.88990951,5.760287862,247.8472103,365.7748461
6,1/1,0.000496094,0.011214353,45.86468424,138.0495697,11.71335677,5.581033008,232.1021634,352.6707279
7,1/1,0,0,49.0914681,136.032239,12.57973893,5.554252275,250.2764277,371.2807694
8,1/1,0.057050781,0.282312507,53.83183659,144.4872879,14.5979707,5.488756195,251.5370788,398.2314899
9,1/1,0.109140625,0.502697454,39.33976107,120.7394019,13.75986133,4.133746458,177.7969323,289.0226023
10,1/1,0.07378581,0.466612759,55.35058635,144.4132891,14.13073695,4.053777477,232.9440127,370.6047877
11,1/1,0.000520492,0.011486253,59.21015369,156.0717122,14.94160997,4.603094066,260.0568955,392.4677963
12,1/1,0.260218579,1.066999499,49.70509016,145.2931156,11.63028142,5.251737918,234.0000464,383.6440342
13,1/1,0.003469945,0.029484328,60.68445355,160.4292418,11.01447131,5.665530977,286.7401298,419.1489358
14,1/1,0.000520492,0.011486253,58.91361475,155.3850579,11.36580123,6.170932891,277.5897876,415.0465934
15,1/1,0,0,47.73880464,134.8278425,11.25856421,4.842976969,235.0110301,363.4691682
16,1/15,0.143807502,0.631966071,38.64907714,117.5958764,10.34504812,4.607671017,168.3451479,293.2912187
17,1/15,0,0,57.02156288,154.2890745,9.49237197,5.197101168,281.8816644,404.7541978
18,1/15,0,0,54.00934091,163.7301672,8.846446212,5.924950942,293.1230833,425.6590681
19,1/15,0,0,55.82235606,158.9842548,9.748299242,5.99419871,290.8231242,427.2318946
20,1/15,0,0,62.33812652,161.699576,10.64915227,5.786537967,311.6135083,451.9811132
21,1/15,0.003463636,0.054042101,56.94505303,154.1078713,11.99259242,5.683863625,299.6148492,442.2492263
22,1/15,0.061190909,0.359712714,63.07703409,160.5008148,13.15796212,5.178312706,296.4745008,437.7125486
23,1/15,0.002309091,0.048380827,61.10287121,156.2881466,12.59059091,4.485968872,278.2143788,397.6342274
24,1/15,0.02140133,0.175291473,59.79076644,166.5457136,12.40016999,5.369143826,303.2726918,444.9901231
25,1/15,0.018064655,0.175157873,62.02284267,167.660792,12.77324928,4.057331518,311.3086681,451.1917816
26,1/15,0.042144681,0.721959883,-10.06527801,614.0562461,11.33079078,5.500332133,265.2763872,416.1041351
27,1/15,0.200645492,0.647692178,-299.2526291,1528.978069,10.88034904,4.536798634,203.0535963,327.8424459
28,1/15,0.003556011,0.029535329,-246.7478279,1374.941732,10.41434495,4.366695451,230.4097268,361.8287655
29,1/15,0.004163934,0.0537696,-236.1222179,1368.225843,9.640964481,3.912248431,250.472748,370.7140871
30,1/15,0.006939891,0.041407368,-212.0230225,1309.332879,9.068729508,4.389824618,266.4630266,405.3406887
31,1/15,0,0,-97.39006571,1051.089213,8.649736482,5.245968659,282.4889603,414.9115215
32,2/1,0,0,70.69426708,182.572842,10.98323634,5.264068138,335.5355048,472.2108676
33,2/1,0,0,55.10075332,161.0578647,12.19930678,4.084436127,279.8872928,418.4627636
34,2/1,0.001642241,0.020357612,71.15794684,171.7139254,11.79037356,5.793027666,323.2593297,461.0747542
35,2/1,0,0,74.7668204,173.8447053,14.17629023,5.950789704,330.4260963,474.8963172
36,2/1,0,0,74.22039727,183.5806741,14.08598635,5.579709515,349.1249806,492.5547633
37,2/1,0,0,75.60275287,185.9235355,13.39772557,5.809838884,357.2327787,498.4345089
38,2/1,0,0,73.87749789,179.3175743,13.88376864,5.882871414,345.9023847,485.5421969
39,2/1,0.001016,0.022695721,74.56862,179.6694563,11.136414,5.477990276,336.133938,477.5651023
40,2/1,0,0,75.87759961,191.5943502,10.54551432,5.966704101,364.9734414,509.3268581
41,2/1,0.020339844,0.14450471,74.10648503,188.3068998,12.29455143,5.81367167,351.4938548,502.8561965
42,2/1,0.080367188,0.312850737,70.11828125,183.5353381,11.90081966,5.430688392,351.9863184,511.7029777
43,2/1,0.048121094,0.239345056,72.17323828,185.609003,12.00513216,6.399394856,356.2907806,515.4519059
44,2/1,0.065690104,0.303679826,61.40465234,164.4343078,11.95128776,5.999873593,287.2364414,431.2355039
45,2/1,0.079126953,0.378958072,67.98316146,154.9185241,11.1953737,5.890816884,280.0695423,413.3843288
46,2/1,0.003307292,0.028794338,82.84923307,182.1343179,12.04829948,6.211937365,329.1088861,474.3986743
47,2/15,0,0,79.37932487,176.1605091,13.47021029,6.995019328,331.2092826,457.1968301
48,2/15,0.012297952,0.152959144,58.09247734,140.4060975,13.89413346,5.985116448,251.3788839,356.2608024
49,2/15,0.034017857,0.301867035,93.67046964,194.0977444,14.49220893,4.854821299,366.3627024,515.3009802
50,2/15,0.100561338,0.548921691,85.44059108,193.0163213,12.79187485,5.285291338,372.8555465,525.3826662
51,2/15,0.034726563,0.270907163,90.2076901,195.9384894,14.32120247,4.837995267,371.3174245,522.3720299
52,2/15,0.012603053,0.136219411,98.60651209,210.3175439,15.78669211,6.052551528,404.7152048,544.9330997
53,2/15,0.009715847,0.102953928,85.57522587,200.0471294,10.45609107,58.06122264,362.7957875,505.6529305
54,2/15,0.0864363,0.558082555,77.74427981,184.5857896,0.322017452,95.88607148,327.6782967,477.4908014
55,2/15,0.008422339,0.075308207,99.60713205,207.3425088,14.50940081,5.915899603,391.9153211,523.8313975
56,2/15,0.111197489,0.480324545,89.06188584,199.2329896,15.29436073,5.972239448,338.905895,491.3835475
57,2/15,0.043638128,0.255970361,103.8490091,214.2883888,15.41319463,6.096971394,367.0127631,511.7550516
58,2/15,0.075243151,0.322434667,79.81081849,182.213852,15.25114783,5.356800083,310.7369669,450.5109638
59,2/15,0.119896119,0.525831992,86.79605651,193.8230784,14.13504795,5.915673888,310.3208396,468.9622032
60,2/15,0,0,117.7666458,248.9552719,11.09202083,4.984153629,404.0412083,552.9422296
61,3/1,0,0,114.3544874,235.4383026,12.82804509,5.175269232,439.6154646,590.1352122
62,3/1,0.000434932,0.010501592,105.6037118,227.2724192,12.53136758,5.798899714,427.5274663,580.0345247
63,3/1,0.004349315,0.044380067,106.929968,223.1520395,14.67939897,6.066433055,417.2313065,556.6424711
64,3/1,0.056976027,0.437373966,79.54759874,187.3140554,15.5315,6.570573933,311.6651906,457.8308325
65,3/1,0.018267123,0.171093453,101.8482129,207.438894,16.2868476,6.205625266,374.3005634,528.616373
66,3/1,0.281522831,1.004828371,82.99853196,186.0877671,15.61450685,5.268540681,290.8533522,427.2032611
67,3/1,0.03578291,0.266985877,129.9257587,235.8978266,15.67847691,5.134144568,394.1768285,534.4607475
68,3/1,0,0,139.8503797,246.5961262,17.39306452,6.518100436,451.3201464,573.4254984
69,3/1,0.007787736,0.087746968,135.5690645,254.3178692,19.31815566,6.952471007,436.4630951,565.93584
70,3/1,0.085066038,0.449595872,121.5380527,246.3409217,18.85694733,7.032893193,416.3092484,575.2817728
71,3/1,0.004193396,0.074915615,141.9222909,261.5444357,19.29869261,7.10670515,464.8406722,605.1105212
72,3/1,0,0,152.5719733,274.3912406,20.2063294,6.701005852,480.1250786,617.865656
73,3/1,0.010183962,0.097377568,136.3979481,266.3289037,17.45749292,5.544885121,458.7884827,605.8813418
74,3/1,0.016768868,0.3448847,136.3093962,271.8537881,15.74286557,6.832893602,485.6250723,637.7679995
